User ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Electricity_Bill,Water_Bill,Gas_Bill,Internet_Bill,Total_Utility_Cost,Followers,Posts,avg_sentiment_last_month,positive_post_ratio,negative_post_ratio,neutral_post_ratio,sentiment_volatility,Groceries,Entertainment,Healthcare,Transportation,Savings,Total_Expenditure,Risk
13,60,male,1,own,little,little,1199,24,car,1684,965,2606,1081,6336,2533,266,-0.484634223,0.751178048,0.889127924,-0.640305972,0.498319611,9471,4913,3844,1798,7636,27662,bad
14,28,female,2,rent,little,little,1403,15,car,3885,741,2759,932,8317,5411,311,-0.074754087,0.071007665,0.578806755,0.350185581,0.14352644,5745,2757,3230,5703,5987,23422,good
15,32,female,1,own,moderate,little,1282,24,radio/TV,4617,328,844,2067,7856,5151,110,0.736545011,0.080180014,0.632391324,0.287428662,0.838438826,7071,6305,1868,6685,11816,33745,bad
16,53,male,2,own,NA,NA,2424,24,radio/TV,3404,1432,2745,2272,9853,6520,414,0.45433814,0.354771292,0.156476716,0.488751992,0.84370673,9003,1624,3317,4853,2104,20901,good
17,25,male,2,own,NA,little,8072,30,business,974,909,1351,1516,4750,1284,355,0.485413042,0.941725712,0.47392122,-0.415646932,0.629200417,2106,1197,3723,4094,14775,25895,good
18,44,female,3,free,little,moderate,12579,24,car,1582,1104,435,1252,4373,4655,119,-0.149013331,0.668572647,0.716397112,-0.384969759,0.4177926,7527,1412,3730,3248,2130,18047,bad
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,3058,374,1507,2252,7191,3485,429,-0.308130015,0.678669957,0.270942698,0.050387345,0.819805028,8173,6255,1483,4813,14566,35290,good
20,48,male,2,own,little,NA,2134,9,car,2547,1137,1875,1555,7114,6496,191,-0.257922474,0.361919991,0.202254181,0.435825829,0.599218322,6697,2566,1735,1216,5143,17357,good
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,3247,1469,2198,1518,8432,8766,480,0.975299127,0.593660791,0.313826808,0.092512401,0.843339078,3473,3101,3184,6444,7261,23463,good
22,48,male,1,rent,little,little,2241,10,car,1475,427,2245,2294,6441,9374,322,-0.919781617,0.010131184,0.241500628,0.748368188,0.668312913,8525,7293,1849,5415,3444,26526,good
23,44,male,2,own,moderate,moderate,1804,12,car,2306,341,1808,882,5337,2658,10,0.734062992,0.636096046,0.214912637,0.148991317,0.805964926,4756,1417,4941,1514,12150,24778,good
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,689,1679,1595,1764,5727,7949,328,0.157350817,0.913286948,0.424850843,-0.33813779,0.638706694,7069,6552,2044,4576,2246,22487,good
25,36,male,1,own,little,little,1374,6,furniture/equipment,3234,340,1799,2274,7647,2147,447,-0.122769162,0.612573468,0.907838514,-0.520411982,0.472726961,7811,1448,4851,5299,10746,30155,good
26,39,male,1,own,little,NA,426,6,radio/TV,3505,1233,2108,1096,7942,2847,64,0.450515321,0.873698593,0.507059647,-0.38075824,0.962151274,8928,6741,864,3053,2695,22281,good
27,42,female,2,rent,rich,rich,409,12,radio/TV,2399,333,1785,2427,6944,9267,380,-0.026662117,0.723973055,0.187920381,0.088106564,0.587002442,8614,2284,2176,4527,7028,24629,good
28,34,male,2,own,little,moderate,2415,7,radio/TV,1767,1340,2588,1478,7173,289,433,0.746846476,0.120558416,0.076971669,0.802469914,0.644580567,3116,4932,4450,4984,7497,24979,good
29,63,male,2,own,little,little,6836,60,business,2028,1476,1700,2217,7421,2834,408,0.801403728,0.902453307,0.696156145,-0.598609452,0.298438875,9828,6115,2982,4162,7379,30466,bad
30,36,male,2,own,rich,moderate,1913,18,business,3702,1297,1643,2382,9024,3105,158,-0.156558146,0.066443844,0.382798764,0.550757391,0.66308571,3457,1831,4482,1584,8063,19417,good
31,27,male,2,own,little,little,4020,24,furniture/equipment,4056,1701,920,1606,8283,4758,440,-0.446344406,0.533967473,0.821830947,-0.355798419,0.614446885,3202,1227,3943,3047,11374,22793,good
32,30,male,2,own,moderate,moderate,5866,18,car,4390,887,2206,2056,9539,1999,466,0.184700657,0.142137124,0.659510769,0.198352108,0.266354558,8891,1831,2302,2488,9641,25153,good
33,57,male,1,rent,NA,NA,1264,12,business,1146,1922,409,826,4303,7834,318,0.824726691,0.011706611,0.796241451,0.192051939,0.153628388,9405,1892,2459,5918,2958,22632,good
34,33,female,3,own,little,rich,1474,12,furniture/equipment,3388,1952,1383,2281,9004,1367,146,-0.578675622,0.42203426,0.271946039,0.3060197,0.643923388,4327,5632,3034,6703,5747,25443,good
35,25,male,1,own,little,moderate,4746,45,radio/TV,2935,641,2825,2280,8681,1628,211,0.245933167,0.295040708,0.692358922,0.01260037,0.787323042,5633,2214,3506,2896,7546,21795,bad
36,31,male,2,free,little,NA,6110,48,education,1100,326,2056,700,4182,3656,445,0.26312044,0.486000494,0.264061985,0.249937522,0.571061234,9985,5481,655,1521,8090,25732,good
37,37,male,2,own,little,rich,2100,18,radio/TV,2863,1610,2060,1891,8424,3990,322,0.466226045,0.577199887,0.939068479,-0.516268366,0.304095363,8282,4800,600,6251,1451,21384,bad
38,37,male,2,own,little,rich,1225,10,domestic appliances,2561,945,2599,2343,8448,8938,126,-0.73686463,0.043739072,0.636374282,0.319886646,0.699869779,8900,5360,3856,2728,2678,23522,good
39,24,male,2,own,little,moderate,458,9,radio/TV,741,1030,1119,718,3608,5493,163,0.431649929,0.123003295,0.3245118,0.552484905,0.172095154,4031,6226,2951,2196,5985,21389,good
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,2541,467,1472,2055,6535,8892,434,0.818065041,0.558642396,0.269511862,0.171845741,0.497650334,9615,1056,3683,4799,13993,33146,good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,3324,909,1258,1283,6774,8533,300,-0.640633782,0.343167353,0.190926585,0.465906062,0.247030083,8719,2407,2222,3423,2069,18840,good
42,44,male,1,own,little,moderate,6204,18,repairs,3112,567,1716,1155,6550,7613,72,-0.52491335,0.729173488,0.694640959,-0.423814446,0.266013146,7678,4543,1807,5027,14423,33478,good
43,24,male,2,rent,moderate,little,6187,30,car,1863,1120,2003,1656,6642,2712,253,0.942790188,0.652291649,0.218715613,0.128992738,0.282064554,3109,7227,3575,4972,4050,22933,good
44,58,female,1,free,little,little,6143,48,car,1978,754,449,1832,5013,7141,34,-0.638046095,0.845604363,0.595303266,-0.440907629,0.448036351,6235,4750,3815,3413,9760,27973,bad
45,35,female,3,own,little,NA,1393,11,car,3056,1205,2978,1991,9230,9655,99,0.708770187,0.692492827,0.264635027,0.042872146,0.146035185,9867,5082,1119,4072,5549,25689,good
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,1275,1724,545,1144,4688,6335,84,-0.015444287,0.429931077,0.661968945,-0.091900022,0.458014097,7855,7109,4043,5204,12060,36271,good
47,23,female,0,rent,quite rich,little,1352,6,car,4514,1221,1314,1963,9012,5586,303,-0.505537851,0.672966622,0.814939729,-0.487906351,0.560536702,7746,6266,602,4280,5799,24693,good
48,39,male,1,own,little,NA,7228,11,car,534,1280,1862,2024,5700,7199,395,0.741499803,0.275381174,0.778025243,-0.053406417,0.534964856,9176,2470,2436,3929,6450,24461,good
49,28,female,2,own,moderate,NA,2073,12,radio/TV,3652,1799,2689,1301,9441,9770,400,-0.10938949,0.306313499,0.760851331,-0.06716483,0.44450569,5927,4661,2775,1047,3678,18088,good
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,2455,1001,980,802,5238,875,219,0.029634708,0.78898516,0.187722406,0.023292434,0.855231947,2577,4181,1891,4661,13628,26938,good
51,30,male,3,own,little,moderate,5965,27,car,2085,933,1984,1687,6689,8326,484,-0.281533261,0.446419516,0.088384947,0.465195537,0.230794023,8991,1153,2312,2881,11553,26890,good
52,25,male,2,own,little,NA,1262,12,radio/TV,4443,1881,882,1973,9179,3252,427,0.185901703,0.798380341,0.698948828,-0.497329169,0.555127069,5776,2628,2352,4867,13960,29583,good
53,31,male,2,own,NA,NA,3378,18,car,3573,1899,1649,2176,9297,1685,356,-0.672952255,0.822422374,0.368347214,-0.190769587,0.155837275,6626,7605,3158,4295,6652,28336,good
54,57,male,2,free,little,moderate,2225,36,car,1521,429,1072,1219,4241,4043,26,-0.217836927,0.857562338,0.432346226,-0.289908564,0.164040111,5179,4409,3099,2071,5868,20626,bad
55,26,male,1,own,NA,NA,783,6,car,3961,1319,1030,1876,8186,7655,137,0.938824645,0.916635236,0.031149093,0.052215671,0.616479265,8195,4616,1435,1012,5854,21112,good
56,52,male,3,own,NA,moderate,6468,12,radio/TV,3113,1686,1061,1558,7418,3173,436,-0.483733135,0.430985221,0.259576449,0.30943833,0.609416582,8838,4868,2648,2936,7050,26340,bad
57,31,female,2,own,little,NA,9566,36,radio/TV,4343,1118,2866,873,9200,1121,452,0.313473329,0.318866818,0.033676404,0.647456778,0.890230162,2363,6417,1771,6229,3427,20207,good
58,23,female,3,own,little,rich,1961,18,car,2000,992,1387,2066,6445,3943,373,-0.349619872,0.582198747,0.879185773,-0.461384519,0.602086308,7589,3418,4720,2064,7184,24975,good
59,23,female,1,rent,little,little,6229,36,furniture/equipment,661,1615,1946,2393,6615,8089,260,0.546946251,0.371172423,0.243396683,0.385430893,0.963811918,5652,3661,883,5802,14318,30316,bad
60,27,male,2,own,little,moderate,1391,9,business,4797,1694,1049,1704,9244,9792,188,-0.738252679,0.601074167,0.55733717,-0.158411336,0.143825364,3642,1502,2116,1841,13274,22375,good
61,50,male,2,own,NA,moderate,1537,15,radio/TV,2481,1093,1368,1130,6072,6973,191,0.93964209,0.705585863,0.038979321,0.255434817,0.188206916,5121,5996,4485,3349,13847,32798,good
62,61,male,3,free,little,moderate,1953,36,business,1495,328,1500,1426,4749,5775,161,-0.092420917,0.688405018,0.666847391,-0.35525241,0.139659275,9499,1871,2376,6935,6937,27618,bad
63,25,male,2,own,little,moderate,14421,48,business,3842,448,2956,2412,9658,261,34,-0.527899073,0.374552887,0.323027346,0.302419767,0.266749165,8795,3000,3959,6124,3158,25036,bad
64,26,female,2,own,little,NA,3181,24,radio/TV,4298,1619,840,2410,9167,4397,464,-0.853006505,0.166860202,0.897919187,-0.064779389,0.5871431,6005,7112,3258,4014,2547,22936,good
65,48,male,2,own,NA,NA,5190,27,repairs,1775,310,1320,1549,4954,1095,189,-0.66048419,0.430529338,0.888118189,-0.318647527,0.681014963,8348,7282,3893,1475,10816,31814,good
66,29,female,2,own,little,NA,2171,12,radio/TV,1516,1835,1169,2381,6901,7729,207,0.039547897,0.142594144,0.325290618,0.532115238,0.141026642,6317,5209,1332,6046,2393,21297,good
67,22,male,2,own,rich,moderate,1007,12,car,837,975,1743,2047,5602,9567,353,-0.325993647,0.890097035,0.900960896,-0.791057931,0.951373801,7983,3510,3374,6767,7908,29542,good
68,37,male,2,free,little,NA,1819,36,education,1378,1436,2226,1689,6729,1116,170,0.657766732,0.345877461,0.996157673,-0.342035134,0.857948839,8392,6147,2090,6201,2667,25497,bad
69,25,female,2,own,NA,NA,2394,36,radio/TV,1576,486,662,2396,5120,7969,186,-0.138224953,0.154459747,0.825415664,0.020124589,0.366951234,2151,2056,2650,2393,5519,14769,good
70,30,female,2,own,little,NA,8133,36,car,4493,1106,1977,1338,8914,6539,294,-0.502571455,0.02544776,0.844871348,0.129680892,0.169468777,4654,5001,3452,2673,3996,19776,good
71,46,male,1,rent,NA,NA,730,7,radio/TV,879,1043,2906,1119,5947,7992,72,0.234289973,0.645822386,0.249008736,0.105168878,0.252898366,6666,1234,3589,6110,3391,20990,good
72,51,male,3,free,little,little,1164,8,vacation/others,992,1550,1398,1293,5233,6963,159,0.413554434,0.636902317,0.576702399,-0.213604716,0.214249972,6082,6792,1312,6006,4784,24976,good
73,41,female,1,own,little,moderate,5954,42,business,2562,1633,1099,1184,6478,8016,163,-0.665916184,0.340604167,0.067255914,0.592139919,0.210955401,7191,3503,3982,2955,14295,31926,good
74,40,male,3,own,NA,little,1977,36,education,4384,397,2749,2382,9912,8629,165,-0.664761567,0.071711889,0.094917937,0.833370174,0.56670552,6046,5044,3784,2631,7750,25255,bad
75,66,male,3,free,little,little,1526,12,car,564,354,2003,2474,5395,978,379,-0.926657146,0.409628895,0.998892612,-0.408521507,0.321262698,2716,3748,2051,1666,1077,11258,good
76,34,male,2,own,little,little,3965,42,radio/TV,3068,922,1641,1111,6742,9368,478,0.47280403,0.311217495,0.326639249,0.362143256,0.422325745,7452,7778,4931,5672,9578,35411,bad
77,51,male,2,own,little,moderate,4771,11,radio/TV,2527,963,1525,1635,6650,4987,58,0.327609055,0.67712064,0.748183912,-0.425304552,0.9905548,5747,3817,3399,1897,9156,24016,good
78,39,male,1,own,NA,NA,9436,54,car,3195,1057,2735,1807,8794,4959,464,-0.050738249,0.605779249,0.806665053,-0.412444302,0.715882824,9206,4020,1340,2030,4457,21053,good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,1995,705,1590,1836,6126,6431,346,0.688340898,0.364593728,0.858023271,-0.222616999,0.9540826,9813,7199,3408,6699,9917,37036,good
80,44,female,2,own,NA,NA,5943,24,radio/TV,891,368,1405,2460,5124,8671,93,0.611340306,0.217892554,0.997628297,-0.215520852,0.2283009,8039,2785,1738,4727,5255,22544,bad
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,4974,1635,435,1031,8075,8784,370,0.170708729,0.988035966,0.241496485,-0.229532451,0.443925527,2431,7241,1103,4312,9621,24708,good
82,24,female,1,rent,moderate,NA,1568,18,business,4061,1612,1143,2101,8917,7308,186,0.736542561,0.454001621,0.040350827,0.505647552,0.599258623,4903,6815,3982,5721,11273,32694,good
83,58,female,1,own,little,little,1755,24,vacation/others,2778,1871,2164,2478,9291,5376,157,-0.58831758,0.688274236,0.411191518,-0.099465754,0.169082256,7638,4739,3764,4389,13045,33575,good
84,52,male,1,own,little,little,2315,10,radio/TV,3599,1050,752,1354,6755,2162,127,-0.776160761,0.140552968,0.13008067,0.729366363,0.103768699,9134,7467,3686,2158,4760,27205,good
85,29,female,3,own,little,NA,1412,12,business,700,1471,2322,740,5233,164,351,-0.460500777,0.4855897,0.022425889,0.491984411,0.7033909,5775,3892,756,6811,9964,27198,good
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,3604,1790,472,2493,8359,8106,485,-0.885826288,0.02753672,0.360426827,0.612036453,0.677637565,7298,4727,4157,1526,6399,24107,good
87,47,male,2,free,moderate,moderate,12612,36,education,2954,1567,1776,1658,7955,2668,72,0.062339056,0.505455118,0.783738251,-0.289193369,0.469709929,7945,1680,841,1244,6480,18190,bad
88,30,male,3,own,moderate,little,2249,18,car,4145,1814,2314,804,9077,5563,198,0.873211385,0.964017407,0.566180691,-0.530198098,0.540679668,8699,6703,3137,3412,1715,23666,good
89,28,male,2,own,little,little,1108,12,repairs,1304,1257,1493,901,4955,2127,369,-0.921312919,0.384206713,0.312777989,0.303015298,0.473898701,9949,1335,4202,1471,1986,18943,bad
90,56,male,2,own,little,NA,618,12,radio/TV,3231,1830,2872,1149,9082,2795,58,-0.755780172,0.038996013,0.654342005,0.306661982,0.12160454,2222,1854,974,3114,2112,10276,good
91,54,male,2,own,little,little,1409,12,car,3273,664,1107,1989,7033,9787,336,-0.095601943,0.030955791,0.23201818,0.737026029,0.401834446,5220,1970,3966,5380,13610,30146,good
92,33,female,1,own,NA,NA,797,12,radio/TV,2070,781,2204,1609,6664,5358,266,0.867750035,0.38798676,0.014381446,0.597631794,0.25937403,4074,1614,2524,5580,8161,21953,bad
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,3190,500,1355,909,5954,5718,233,-0.36768779,0.160024936,0.764353386,0.075621677,0.18858177,9765,7501,1934,6209,9578,34987,good
94,54,male,2,own,rich,moderate,1318,12,car,4340,453,2964,1262,9019,6836,150,0.014469617,0.023352096,0.623743085,0.352904819,0.961048391,4659,4206,2153,3979,10505,25502,good
95,58,male,2,rent,little,moderate,15945,54,business,1528,1773,2875,1841,8017,491,487,-0.916854282,0.756213614,0.762302625,-0.518516238,0.639423753,7172,3766,2579,1755,10631,25903,bad
96,61,female,2,own,NA,NA,2012,12,education,1002,1824,559,1412,4797,5992,224,-0.703313598,0.458523009,0.038938017,0.502538974,0.755790656,9666,6840,549,5752,4590,27397,good
97,34,male,2,own,moderate,moderate,2622,18,business,4993,372,2596,2100,10061,3661,444,0.973260246,0.289244772,0.837119628,-0.1263644,0.383827369,3436,6935,1766,4948,7118,24203,good
98,36,male,2,own,little,moderate,2337,36,radio/TV,1370,1012,2135,2274,6791,6284,388,0.930237393,0.900083183,0.6195262,-0.519609383,0.453832417,2174,3723,1445,4267,2588,14197,good
99,36,male,3,rent,NA,moderate,7057,20,car,4988,595,1985,2263,9831,3199,449,-0.990120038,0.11613896,0.563395351,0.320465689,0.313231595,9716,7539,621,6213,4278,28367,good
100,41,male,1,rent,moderate,NA,1469,24,car,706,1340,466,1470,3982,6378,220,0.903623571,0.955918829,0.624614048,-0.580532877,0.187269104,5719,7105,2546,3171,8302,26843,good
101,24,male,2,rent,little,moderate,2323,36,radio/TV,1984,1964,2828,1807,8583,8492,327,0.278239876,0.313966717,0.864433247,-0.178399964,0.261128474,5680,5314,3253,1226,14168,29641,good
102,24,female,2,own,little,NA,932,6,radio/TV,1363,1540,457,1153,4513,3204,41,0.735836589,0.888403672,0.586936507,-0.475340179,0.817762641,9923,4394,2489,1988,1749,20543,good
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,3290,360,741,1366,5757,7315,167,-0.090520289,0.602942876,0.58095038,-0.183893256,0.709791225,2497,6595,4476,2622,3164,19354,good
104,26,male,2,rent,NA,NA,2445,12,car,1063,1238,1553,1328,5182,2554,294,0.031192057,0.82670736,0.990679157,-0.817386517,0.592235988,6784,4927,4190,1526,7413,24840,good
105,39,male,3,own,little,moderate,11938,24,vacation/others,4691,1939,1595,2237,10462,9096,314,-0.022306839,0.984013163,0.756730167,-0.74074333,0.527580886,2250,7468,730,6082,2028,18558,bad
106,39,male,3,own,little,NA,6458,18,car,2257,341,1632,2328,6558,2831,438,0.333728515,0.288405438,0.442293805,0.269300757,0.930190855,4731,4190,4396,6929,14588,34834,bad
107,32,male,2,own,little,moderate,6078,12,car,2178,324,2801,2401,7704,8254,486,-0.72069749,0.961135485,0.707397,-0.668532485,0.165461453,9777,7275,4182,4587,2090,27911,good
108,30,female,2,own,NA,little,7721,24,furniture/equipment,3742,1362,1894,1086,8084,9862,295,-0.94005282,0.389481895,0.389230472,0.221287633,0.352540732,8328,4779,4388,3366,9480,30341,good
109,35,male,2,own,quite rich,moderate,1410,14,business,1559,430,2221,2073,6283,5156,153,-0.384140117,0.385511905,0.228875462,0.385612633,0.414944068,2663,2298,1093,6389,12705,25148,good
110,31,male,2,own,moderate,moderate,1449,6,business,2222,1821,515,995,5553,8210,433,0.409361525,0.340387104,0.596851877,0.062761019,0.804183231,2383,5663,1499,5646,14288,29479,good
111,23,female,2,rent,little,rich,392,15,education,3814,1552,1061,957,7384,3940,28,-0.596293096,0.541407607,0.928182098,-0.469589705,0.993263158,2780,5988,4996,5893,14103,33760,good
112,28,male,1,rent,little,moderate,6260,18,car,3657,407,1865,1804,7733,1128,27,0.346864867,0.154145043,0.92913952,-0.083284563,0.316603463,2073,7924,1267,5732,14808,31804,good
113,25,female,2,own,little,NA,7855,36,car,3125,471,2900,967,7463,7485,266,0.939824092,0.553711485,0.341905278,0.104383237,0.886876601,8083,4736,1068,5081,10101,29069,bad
114,35,male,2,own,quite rich,little,1680,12,radio/TV,3229,1758,2268,1118,8373,602,87,-0.812198568,0.541704812,0.527677466,-0.069382279,0.847560484,6721,7493,4572,4790,1776,25352,good
115,47,male,2,own,NA,NA,3578,48,radio/TV,2097,1801,2734,934,7566,7010,380,0.345204236,0.761901813,0.211635899,0.026462289,0.302191658,9490,5189,3178,1622,2113,21592,good
116,30,female,3,own,NA,little,7174,42,radio/TV,3560,401,1416,2034,7411,9162,184,-0.112499561,0.833649962,0.995631109,-0.829281071,0.459399322,6759,6931,3750,1902,1925,21267,bad
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,3193,1165,710,1685,6753,7038,203,0.736284509,0.44044135,0.981117908,-0.421559258,0.468705582,2915,2772,1068,6581,1428,14764,good
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,4127,823,607,2080,7637,4588,485,-0.645700421,0.302333249,0.64950893,0.048157821,0.980398602,6765,5516,1291,5771,6721,26064,bad
119,36,male,3,own,quite rich,moderate,2366,12,car,1863,574,2893,1936,7266,306,122,0.385251904,0.259334897,0.80441406,-0.063748957,0.262802711,7514,4159,1258,6308,11577,30816,good
120,25,female,2,own,little,little,1835,21,radio/TV,2481,1936,1032,1273,6722,5234,123,0.676230579,0.194623837,0.715100161,0.090276002,0.819242174,7210,4487,1852,3729,2971,20249,bad
121,41,female,3,rent,little,NA,3868,24,car,2163,1367,2502,748,6780,6077,231,0.889228439,0.057647582,0.593158219,0.349194199,0.400773443,9688,6041,680,4362,1025,21796,good
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,2029,1116,1056,1850,6051,7821,175,0.366496057,0.342447979,0.053347997,0.604204024,0.757783311,6375,5431,3541,3389,9953,28689,good
123,63,male,2,free,little,rich,781,10,car,2538,1256,1823,922,6539,7135,444,-0.005650472,0.270247692,0.454764343,0.274987965,0.478009904,5257,6881,957,4979,8725,26799,good
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,3802,1340,2331,1620,9093,1584,328,0.23569448,0.966417386,0.674786302,-0.641203688,0.620523787,5852,4680,1361,4558,2950,19401,bad
125,30,male,2,own,little,little,2121,12,car,2737,629,2962,2002,8330,7958,141,0.737809969,0.557708826,0.677531614,-0.23524044,0.849350596,5746,3834,3270,2486,4021,19357,good
126,40,male,1,own,little,little,701,12,radio/TV,1806,1892,2079,2131,7908,963,394,0.141219493,0.347277039,0.373122618,0.279600343,0.823749008,6334,7073,4042,6824,3082,27355,good
127,30,male,2,own,little,moderate,639,12,repairs,4529,1820,636,2228,9213,2890,273,-0.939225881,0.580467601,0.941691987,-0.522159588,0.879780865,6379,3316,4727,6898,7945,29265,bad
128,34,male,3,own,little,moderate,1860,12,car,3175,311,747,2017,6250,7508,422,0.861897391,0.139196701,0.167357032,0.693446266,0.153655593,5702,6557,3479,5618,2166,23522,good
129,29,female,2,own,little,little,3499,12,car,1782,1641,1029,976,5428,8855,64,0.379053502,0.444043749,0.500359446,0.055596805,0.722845498,4481,3732,1547,5918,10600,26278,bad
130,24,female,2,own,NA,moderate,8487,48,car,1209,1915,1940,2161,7225,5216,368,0.353026772,0.626234321,0.690883977,-0.317118298,0.225988639,7089,4152,4249,6255,13986,35731,good
131,29,male,2,own,little,little,6887,36,education,4913,515,2403,1830,9661,6119,140,-0.568649695,0.488897832,0.697135806,-0.186033638,0.474236711,7797,6250,2411,2042,4139,22639,bad
132,27,male,1,own,little,NA,2708,15,furniture/equipment,4248,638,1671,2381,8938,1857,297,0.31777094,0.401778801,0.648638957,-0.050417757,0.593729574,4421,2627,1946,5973,8640,23607,good
133,47,male,2,free,little,NA,1984,18,furniture/equipment,1163,960,763,1119,4005,7674,275,-0.212271189,0.993848389,0.275288213,-0.269136602,0.462465536,5462,1403,1267,1900,9324,19356,good
134,21,female,2,own,moderate,NA,10144,60,radio/TV,2498,1404,2768,1310,7980,6474,467,0.302465954,0.880314762,0.156206569,-0.036521331,0.567650508,8525,5175,1970,2331,3203,21204,good
135,38,female,2,own,NA,NA,1240,12,radio/TV,3945,1808,685,2152,8590,6992,476,-0.786813939,0.623405958,0.635940327,-0.259346285,0.996873678,2938,4583,776,2206,8584,19087,good
136,27,male,2,own,rich,NA,8613,27,car,4243,673,548,1074,6538,1778,375,0.315690609,0.569377361,0.599302116,-0.168679477,0.221695582,2342,3909,1331,4881,12536,24999,good
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,1995,1275,1507,772,5549,3342,171,0.998827452,0.62066048,0.17935601,0.19998351,0.707910441,6678,4236,1078,2729,12067,26788,bad
138,35,male,2,own,NA,moderate,2728,15,radio/TV,3804,1009,2853,2357,10023,4736,389,-0.903575922,0.201312108,0.705139146,0.093548747,0.45640087,2304,5773,1642,5308,7496,22523,good
139,44,female,1,rent,little,rich,1881,12,radio/TV,4263,1523,855,1753,8394,1159,490,0.954348368,0.395137743,0.455171992,0.149690265,0.219708819,5501,7220,4701,4699,3823,25944,good
140,27,male,0,own,rich,rich,709,6,car,2353,1860,2166,1911,8290,6768,96,-0.186184079,0.039459533,0.667760592,0.292779876,0.242863087,8950,5298,1868,6698,3339,26153,good
141,30,female,3,own,little,moderate,4795,36,radio/TV,1791,765,1199,2087,5842,3257,64,0.741506901,0.475546037,0.83736708,-0.312913117,0.954345796,5350,6804,1580,6587,7188,27509,good
142,27,male,3,own,little,little,3416,27,radio/TV,4081,1412,1584,2174,9251,6015,485,0.564770968,0.543024584,0.169728429,0.287246987,0.891641347,6326,5623,3504,2541,13877,31871,good
